gene_id,T1_FPKM,T2_FPKM,T3_FPKM,T4_FPKM,T5_FPKM,T6_FPKM,T7_FPKM,T8_FPKM,T9_FPKM,T10_FPKM,T11_FPKM,T12_FPKM,T13_FPKM,T14_FPKM,T15_FPKM
RDN5-1,733.358,939.433,1066.9,1341.15,1281.78,412.93,626.423,635.872,876.85,1244.665,806.417,1359.02,2098.79,978.677,910.578
RDN5-2,481.994,594.823,687.385,915.33,803.411,265.279,455.022,465.807,633.557,838.198,466.582,817.252,1226.48,589.143,585.577
RDN5-3,472.716,585.725,697.608,927.423,803.411,269.936,446.771,450.307,636.031,847.2895,445.237,788.204,1121.28,565.486,503.369
RDN5-4,477.355,640.309,661.826,869.98,793.191,265.279,496.268,469.684,606.355,859.509,450.573,817.252,1223.48,559.572,512.505
RDN5-5,477.355,635.76,600.471,909.283,762.547,251.318,455.022,438.688,621.189,853.6265000000001,445.237,828.87,1301.62,589.143,565.483
RDN5-6,733.358,939.433,1066.9,1341.15,1281.78,412.93,626.423,635.872,876.85,1244.665,806.417,1359.02,2098.79,978.677,910.578
RDN58-1,1533.86,1588.09,1160.07,941.297,1030.28,466.965,626.743,478.119,1080.51,1036.089,937.256,1351.46,1350.05,1676.85,1919.45
RDN58-2,2048.05,1994.95,1514.66,1294.03,1306.84,546.298,822.704,615.522,1304.3,1361.385,1180.83,1762.91,1758.12,2141.75,2434.24
RNA170,429.307,613.306,613.701,270.324,235.513,276.304,193.478,35.373,446.886,336.5855,640.977,436.849,998.617,178.518,786.512
RPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPR1,201.779,252.564,213.238,166.983,51.657,128.007,121.249,277.095,483.082,527.236,222.716,323.817,420.585,167.811,528.099
RUF20,279.501,336.495,236.135,283.148,30.155,274.645,256.126,330.091,363.004,290.38149999999996,328.841,352.984,308.557,331.238,325.523
RUF21,155.115,0.623125,140.293,0.274652,218.814,0.631637,199.732,200.841,317.828,192.97949999999997,195.372,0.798918,24.904,0.552866,0.869934
RUF22,0.358168,0.335881,0.0,0.0,0.0,0.0,0.322834,0.295115,0.734219,0.1975315,0.394915,0.0,0.0,0.446808,0.843663
RUF23,0.0,0.0,0.0,0.0,0.0,0.0,161.612,29.547,184.588,0.0,595.705,0.0,0.0,111.837,28.156
