Gene_ID	Expression
YBR004C	208.145
YBR005W	141.442
YBR006W	129.183
YBR007C	580.396
YBR008C	356.851
YBR009C	2768.42
YBR010W	1123.18
YBR011C	658.251
YBR012C	643.288
YBR012W-A	24.054
YBR012W-B	359.263
YBR013C	286.303
YBR014C	160.192
YBR015C	788.194
YBR016W	294.282
YBR017C	343.765
YBR018C	78.087
YBR019C	102.548
YBR020W	119.043
YBR021W	12.585
YBR022W	776.611
YBR023C	331.062
YBR024W	501.303
YBR025C	584.979
YBR026C	1282.87
YBR027C	802.859
YBR028C	254.942
YBR029C	127.982
YBR030W	176.353
YBR031W	434.062
YBR032W	680.139
YBR033W	127.133
YBR034C	559.792
YBR035C	291.343
YBR036C	231.711
YBR037C	382.664
YBR038W	177.589
YBR039W	563.054
YBR040W	378.962
YBR041W	280.782
YBR042C	305.133
YBR043C	742.048
YBR044C	283.842
YBR045C	640.376
YBR046C	700.61
YBR047W	290.202
YBR048W	600.916
YBR049C	540.286
YBR050C	457.218
YBR051W	268.357
YBR052C	272.494
YBR053C	266.673
YBR054W	3124.44
YBR055C	180.719
YBR056C-B	615.533
YBR056W	241.526
YBR056W-A	449.654
YBR057C	118.595
YBR058C	596.572
YBR058C-A	1666.69
YBR059C	389.294
YBR060C	191.099
YBR061C	385.479
YBR062C	312.473
YBR063C	395.629
YBR064W	23.772
YBR065C	289.884
YBR066C	619.601
YBR067C	14811.3
YBR068C	203.055
YBR069C	79.857
YBR070C	502.792
YBR071W	367.826
YBR072C-A	656.392
YBR072W	52663.9
YBR073W	303.431
YBR074W	250.209
YBR076C-A	135.726
YBR076W	214.583
YBR077C	157.404
YBR078W	282.212
YBR079C	578.392
YBR080C	419.118
YBR081C	335.834
YBR082C	899.012
YBR083W	613.753
YBR084C-A	1608.73
YBR084W	230.548
YBR085C-A	8496.64
YBR085W	0.364761
YBR086C	103.233
YBR087W	444.374
YBR088C	563.866
YBR089C-A	1517.84
YBR089W	38.412
YBR090C	153.346
YBR091C	793.387
YBR092C	19.046
YBR093C	634.867
YBR094W	55.027
YBR095C	512.197
YBR096W	794.595
YBR097W	146.728
YBR098W	30.92
YBR099C	553.181
YBR101C	733.145
YBR102C	217.044
YBR103C-A	102.117
YBR103W	606.901
YBR104W	248.387
YBR105C	214.681
YBR106W	611.641
YBR107C	385.156
YBR108W	259.448
YBR109C	1085.79
YBR109W-A	289.644
YBR110W	615.866
YBR111C	425.294
YBR111W-A	376.44
YBR112C	547.419
YBR113W	425.968
YBR114W	152.234
YBR115C	466.509
YBR116C	309.717
YBR117C	710.952
YBR118W	6905.92
YBR119W	139.332
YBR120C	736.391
YBR121C	173.193
YBR121C-A	418.2
YBR122C	133.853
YBR123C	203.149
