,flux
R_APRTO2,0.0036106818591327998
R_ARAB14LO,0.0
R_BACCL,1.4559510720938836e-19
R_3HAO,1.237190310665345e-05
R_ARAB1D2,2.4207779348661444e-20
R_ARABR,9.786525513360488e-09
R_3HPH5MBDCm,0.0
R_ARAB_Dt,0.0
R_ARAB_Lt,9.7865255344054e-09
R_ARGN,9.652120401300134e-05
R_BPNT,0.1757634188475623
R_BTDD_RR,-0.40494622798644014
R_BTDt_RR,0.4049462279864401
R_3IPM3MT,1.0323573764169252e-21
R_BTNt2i,2.6159094902030236e-18
R_BTSr,0.0
R_C14STR,0.0001706746500734
R_C22STDS,1.6335514771575341e-06
R_C22STDSx,0.0001615854260391
R_C24STRer,0.00016320930533605
R_C3STDH1,0.0001706746500734
R_ARGSL,0.0009026466868852999
R_ARGSS,0.0009026466868852999
R_ARGTRS,2.5629106652449365e-20
R_ARGTRSm,2.574102773632462e-20
R_ARGt2m,0.0
R_ARGt2r,9.221100216727507e-09
R_ARGt6,4.389983443094511e-20
R_ARMT,9.448700947731788e-22
R_ASAD,-0.23912969929811845
R_C3STDH2,0.0001706746500734
R_C3STKR1,0.0001706746500734
R_C3STKR2,0.0001706746500734
R_ASNN,0.00016079224897885
R_C4STMO1,0.0001706746500734
R_ASNNe,0.00091969339505665
R_C4STMO2,0.0001706746500734
R_ASNS1,0.0015923703206168999
R_3MBALDt,4.9229324665112095e-06
R_ASNTRS,9.498969192480727e-21
R_ASNTRSm,9.610859306799318e-21
R_C5STDS,0.00016321897751625
R_C8STI,0.00016319941417995
R_ASNt2m,0.0
R_ASNt2r,-0.00092141068275185
R_3MBALDtm,0.00159455398480155
R_ASNt6,0.01767710756528755
R_ASNt7,0.01767710756528755
R_CAT,0.0024967038855784
R_CATp,8.792937022786097e-07
R_ASPCT,0.0041892157184129
R_3MOBDC,0.2605489027464846
R_ASPGLU2m,0.0013871865069517999
R_ASPGLUtp,-4.814170728728584e-10
R_ASPK,0.23912969929811845
R_ASPOcm,0.0
R_CBASPtn,0.0
R_CBPS,0.00509186240529825
R_CBPtn,0.0
R_CCP2m,1.939627108450863e-08
R_CDPDGPm_SC,-9.929280092579873e-09
R_ASPTA,-0.5095371111068814
R_ASPTAm,0.23697624874978251
R_3MOBtm,-0.3868136496098332
R_ASPTAp,-4.814170728728584e-10
R_ASPTRS,5.1454256452552925e-21
R_ASPTRSm,5.281796003475553e-21
R_CDPtn,-9.522846511345053e-09
R_CER1_24ter,5.234175315393941e-10
R_CER1_26ter,-5.846123030117667e-10
R_CER2_24ter,-5.231677313588533e-10
R_CER2_26ter,5.837444416734172e-10
R_ASPt2m,0.2383634352567344
R_ASPt2n,-0.05526630246700345
R_CERASE124er,0.6075893794381703
R_3MOPDC,0.17492353497510843
R_CERASE126er,0.6075893788843416
R_ASPt2r,-0.00069555479800855
R_ASPt5n,-0.05526630246700345
R_ASPt7,0.0
R_CERASE224er,1.3046668442436862
R_CERASE226er,1.3046668447973284
R_ATHRDHr,9.683073620703198e-09
R_3MOPt,-5.923116878692181e-06
R_ATP2tp_H,1.008603266911506e-15
R_ATPATF1,0.00220222618038095
R_ATPATF2,3.567610688885325e-19
R_ATPATF3,4.1980675535172035e-19
R_ATPH1,3.0604099861022635e-06
R_ATPM,0.0016439712414357999
R_CERH124_copy1,1.3164196147357798e-09
R_CERH126_copy1,1.3164195882766202e-09
R_CERS124,2.081519081874508e-09
R_CERS124er,0.6075893789147593
R_CERS126,0.0
R_CERS126er,0.607589379468588
R_CERS224,7.887376717768385e-09
R_CERS224er,1.3046668447669458
R_ATPPRT,0.00374423260602305
R_ATPS,0.00245764834270945
R_ATPS3g,9.98257488919484e-20
R_ATPS3m,0.3712595890773937
R_CERS226,0.0
R_CERS226er,1.3046668442133036
R_CERH124_copy2,1.0785812682652392e-09
R_CERH126_copy2,1.0785812420436413e-09
R_CITtbm,-0.0385084306150827
R_3MOPtm,-0.0098233729898448
R_CITtcm,0.0134702129328951
R_CERS324,7.834293752735191e-09
R_CERS326,2.33154954637856e-10
R_CHLPCTD,0.03588313576478725
R_CHLSTI,0.0
R_CLPNSm_SC,0.0
R_3OPHB5Hm,0.0
R_CMPN,0.0193548223413013
R_CHLt2,0.0
R_CHOLK,0.03588313576478725
R_CHORM,0.1175560124262556
R_CHORS,0.1192126180381615
R_CHRPL,0.0
R_CO2t,-4.690022901481357
R_CO2tg,0.0
R_CO2tm,-1.0348165504821774
R_CO2tn,-0.14752275840232454
R_CO2tp,9.938944500742508e-09
R_CHTNDA,1.3162887142624304e-20
R_CHTNS,2.3626002828067153e-20
R_CITt2r,-4.088400223922762e-08
R_CO2tv,-1.8331927463144382e-05
R_COAHLp,1.7286651898488267e-16
R_3OPHB_5tm,0.0
R_COAtim,0.004007380343681
R_CITtam,-0.07960592559095894
R_CITtap,1.8977218679827604e-07
R_COAtn,-0.0209958987853787
R_4ABUTNtm,0.0
R_COUCOAFm,9.957286668345576e-09
R_CPPPGO,5.1287018949823075e-17
R_4ABUTtm,0.0
R_CRNCARtm,0.0030969082695292
R_CRNCARtp,0.0
R_DCTPD,0.20474425400540713
R_DCYTD,0.08080002262710609
R_CRNt,4.163336342344337e-17
R_4ABZt,0.0016566209731778499
R_CRNtim,0.05997303089943405
R_DCYTt2,9.646717644341301e-09
R_CRNtp,7.186888858622039e-07
R_4ABZtm,-1.1102230246251563e-16
R_CSNATm,0.0630699391689633
R_DDPA,0.0807041874230788
R_DDPAm,0.0385084306150827
R_DESAT14,0.0
R_DESAT16,4.3771635778617915e-05
R_DESAT18,8.998634632381182e-05
R_CSNATp,7.090872568560336e-07
R_CSNATr,0.06306923008170645
R_CSND,0.01935483217816645
R_CSNt2,9.836865126655216e-09
R_CSm,0.11852297701118886
R_DESAT18_2,2.4903506481633094e-05
R_DGDPtn,8.390928063484182e-09
R_CSp,1.798332423305509e-07
R_DGGH,6.597593880799973e-20
R_4H2OGLTtm,9.671506207009628e-09
R_DGK1,-0.00028026343458955
R_DGSNt2,9.850101338135693e-09
R_CTPS1,0.04763426481300425
R_CTPS2,0.0006175159737721501
R_CTPtm,0.02272015499238255
R_DHAD1m,0.30513663103290156
R_4H2OGLTtp,-1.9375310744695895e-08
R_DHAD2m,0.1764374385762246
R_DHAK,0.41103736904370186
R_CYOOm,0.19894009183859418
R_CYOR_u6m,0.39760414430648794
R_DHAPtm,0.19636470806858086
R_DHFR,0.0036525196510120003
R_CYSS,0.00702983051281
R_4HBZCOAFm,9.957286343846616e-09
R_CYSTGL,0.3392874171483213
R_CYSTL,0.07966212912567544
R_CYSTLp,0.0
R_CYSTRS,6.556393319083073e-21
R_CYSTS,0.10351810740796605
R_DHFRim,0.0
R_DHFS,0.0
R_DHFtm,0.0
R_DHNPAm,0.0
R_DHNPTtm,-1.1102230246251563e-16
R_DHORD4i,8.007640621001786e-05
R_DHORDfum,0.0002209570346357
R_CYSTtp,-9.847350435077118e-09
R_CYSt2r,-0.0308526873233199
R_CYTD,0.02865663998003815
R_CYTDK2,0.023737791170054
R_DHORDi,0.0038881822775669
R_DHORTS,-0.00418921571841275
