Gene_ID	Expression
YBR005W	602.035
YBR006W	554.248
YBR007C	289.756
YBR008C	202.599
YBR009C	1946.68
YBR010W	997.853
YBR011C	611.239
YBR012C	470.479
YBR012W-A	0
YBR012W-B	39.463
YBR013C	307.094
YBR014C	150.8
YBR015C	102.927
YBR016W	286.074
YBR017C	448.942
YBR018C	0.47232
YBR019C	614.553
YBR020W	765.898
YBR021W	569.554
YBR022W	129.633
YBR023C	683.689
YBR024W	44.055
YBR025C	588.44
YBR026C	937.362
YBR027C	567.936
YBR028C	481.821
YBR029C	141.41
YBR030W	17.472
YBR031W	774.395
YBR032W	515.865
YBR033W	370.916
YBR034C	79.783
YBR035C	283.505
YBR036C	227.383
YBR037C	667.373
YBR038W	500.483
YBR039W	1005.89
YBR040W	229.248
YBR041W	470.979
YBR042C	438.656
YBR043C	291.213
YBR044C	557.535
YBR045C	138.163
YBR046C	152.725
YBR047W	911.812
YBR048W	1386.13
YBR049C	592.132
YBR050C	387.184
YBR051W	263.593
YBR052C	296.469
YBR053C	101.186
YBR054W	369.114
YBR055C	300.895
YBR056C-B	438.214
YBR056W	530.429
YBR056W-A	279.302
YBR057C	616.378
YBR058C	502.934
YBR058C-A	1206.68
YBR059C	275.424
YBR060C	241.349
YBR061C	617.468
YBR062C	164.614
YBR063C	336.391
YBR064W	150.166
YBR065C	217.541
YBR066C	134.511
YBR067C	1099.48
YBR068C	109.899
YBR069C	473.339
YBR070C	127.086
YBR071W	296.127
YBR072C-A	808.673
YBR072W	1100.55
YBR073W	920.191
YBR074W	391.942
YBR076C-A	456.512
YBR076W	506.217
YBR077C	115.912
YBR078W	1038
YBR079C	129.39
YBR080C	633.111
YBR081C	315.419
YBR082C	1172.44
YBR083W	104.49
YBR084C-A	2444.22
YBR084W	750.914
YBR085C-A	1828
YBR085W	176.523
YBR086C	874.908
YBR087W	800.836
YBR088C	240.963
YBR089C-A	720.91
YBR089W	216.689
YBR090C	899.897
YBR091C	171.699
YBR092C	112.542
YBR093C	467.822
YBR094W	291.841
YBR095C	381.276
YBR096W	129.51
YBR097W	829.933
YBR098W	32.269
YBR099C	521.208
YBR101C	317.103
YBR102C	216.178
YBR103C-A	126.664
YBR103W	401.364
YBR104W	335.533
YBR105C	175.931
YBR106W	880.107
YBR107C	335.172
YBR108W	183.369
YBR109C	516.124
YBR109W-A	151.272
YBR110W	660.854
YBR111C	217.619
YBR111W-A	278.576
YBR112C	719.303
YBR113W	595.862
YBR114W	134.302
YBR115C	101.294
YBR116C	197.723
YBR117C	505.767
YBR118W	5062.39
YBR119W	985.768
YBR120C	208.791
YBR121C	375.354
YBR121C-A	473.956
YBR122C	316.062
YBR123C	18.482
YBR124W	83.551
YBR125C	533.928
YBR126C	137.518
YBR126W-A	777.71
YBR126W-B	1269.79
YBR127C	267.869
YBR128C	164.419
YBR129C	766.973
YBR130C	290.936
YBR131C-A	184.068
YBR131W	12.638
YBR132C	253.633
YBR133C	33.358
YBR134W	106.892
YBR135W	147.968
YBR136W	514.086
YBR137W	113.768
YBR138C	142.931
YBR139W	798.227
YBR140C	173.345
YBR141C	107.104
YBR141W-A	142.618
YBR142W	290.075
YBR143C	323.202
YBR144C	0.932148
YBR145W	447.536
YBR146W	275.234
YBR147W	101.596
YBR148W	912.026
YBR149W	235.667
YBR150C	259.237
YBR151W	213.105
YBR152W	283.693
YBR153W	592.356
YBR154C	200.114
YBR155W	279.785
YBR156C	11.751
YBR157C	833.742
YBR158W	450.507
YBR159W	173.502
YBR160W	121.502
YBR161W	193.098
YBR162C	393.02
YBR162W-A	1493.65
YBR163W	336.724
YBR164C	190.482
YBR165W	579.987
YBR166C	663.958
YBR167C	749.244
YBR168W	333.679
YBR169C	796.988
YBR170C	576.771
YBR171W	162.022
YBR172C	849.936
YBR173C	492.328
YBR174C	177.108
YBR175W	260.515
YBR176W	446.712
YBR177C	114.647
YBR178W	309.578
YBR179C	681.095
YBR180W	286.661
YBR181C	2507.25
YBR182C	233.853
YBR182C-A	24.691
YBR183W	269.394
YBR184W	425.862
YBR185C	178.526
YBR186W	362.317
YBR187W	119.171
YBR188C	117.945
YBR189W	2654
YBR190W	133.759
YBR191W	3133.91
YBR191W-A	235.885
YBR192W	84.393
YBR193C	52.046
YBR194W	96.837
YBR195C	53.905
