,wt_1,wt_2,wt_3,wt_4,wt_5,wt_6,wt_7,wt_8,wt_9,wt_10,wt_11,wt_12,arp5_1,arp5_2,arp5_3,arp5_4,arp5_5,arp5_6,arp5_7,arp5_8,arp5_9,arp5_10,arp5_11,arp5_12
YAL060W,366.4957454,334.6050945,317.3474381,266.6883056,219.7154345,246.5867346,362.6314146,370.1843881,482.1025589,463.2052454,460.4549105,449.141224,569.0928709,573.0116969,610.8093206,579.3675053,481.2039665,447.0013553,625.5684986,589.7278287,673.5189214,625.0043249,661.8380337,648.5800839
YAL059W,104.5491004,96.34001343,85.99220441,89.77147732,96.99898178,119.3614843,84.18544516,91.49575308,115.0148436,124.5800782,105.0053062,100.7066115,77.26835581,82.96008887,151.1377312,127.3892039,117.0617351,92.62946445,118.9461951,173.4955889,112.5105865,128.2109683,108.1695021,108.3780894
YAL058W,69.37890314,89.48241053,90.00144048,76.35307614,111.8396747,104.8229977,116.6942139,82.96846191,95.86317914,102.0243405,83.45678762,92.02372652,98.54869501,106.5632181,124.5738544,104.8687666,97.45010086,106.2692825,123.7758853,126.5489116,81.95982571,113.5045879,105.6330448,125.348394
YAL056W,164.151732,166.0623721,160.6039489,157.1880572,144.4330639,136.4319602,153.5979084,134.1508855,187.9632789,172.7840816,159.6742053,154.0656738,253.7857209,243.4184256,284.342191,274.1346649,232.9765501,223.4531805,239.7110772,285.9536298,257.1910828,258.194338,251.6321887,215.8678355
YAL055W,168.1404317,172.9175265,174.5511963,187.1798513,170.8537057,201.5381241,201.6145687,224.7429336,214.018778,206.4870291,182.5046604,168.5163084,139.0606666,149.8187138,176.6133658,147.571719,132.7766925,100.0138783,175.1792937,180.2338413,202.6786521,171.733974,163.0179197,171.3229864
YAL053W,711.1219789,745.6528883,662.7355714,748.7035723,708.7483043,716.6803486,750.8220465,738.9874859,682.0394037,670.0315968,715.1245374,719.0003358,760.5667567,791.6940986,839.7822017,782.8918772,774.2144315,779.2147962,779.468846,785.8283293,850.8760211,783.6665472,803.6607093,760.8455293
YAL051W,244.7846776,226.6549286,222.4614356,241.8471962,200.0623689,230.539452,219.7006244,218.6350436,235.5480211,208.3873048,237.7703148,258.8326785,319.1824249,318.2104349,338.354064,333.6862418,267.1990535,314.0933813,303.156824,307.3037219,308.4532663,285.2830021,283.6766234,336.2972688
YAL047W-A,75.60598406,74.35432715,64.02792864,41.35546656,45.7385062,25.9270306,56.7613882,55.79821315,84.7197186,81.63844936,88.42853907,57.18222951,56.69540326,61.62561444,83.09852128,73.57634938,70.37590103,78.48174037,63.69297539,81.4293558,59.56261577,74.29257106,95.42314059,79.70923616
YAL044W-A,262.6757262,241.0079499,214.0510627,220.9090098,223.0726105,209.7728828,245.7497539,243.8841474,285.5572229,260.001788,249.4412885,229.250939,247.6448484,211.529298,244.5900022,258.157675,264.0773203,281.0552732,245.9746697,275.898056,266.4657047,235.0958257,241.4538004,278.6399303
YAL042W,540.3496185,628.0329249,506.9026348,547.8505506,546.0147288,525.0267594,615.3320556,552.6202935,575.1713269,528.5398786,493.2286152,532.1105393,508.5538955,553.371324,505.6317358,509.7816779,512.8988328,502.4472539,505.7971915,547.6322801,524.9148939,494.8175188,485.7628235,553.4666781
YAL041W,443.808285,443.2178967,429.1768974,412.9589776,453.4446955,475.9642545,456.8534775,483.3288867,516.3638463,535.9234419,457.1442697,454.780974,566.4543276,601.4468367,596.3666178,585.2252908,592.6722006,580.9680957,659.6992864,637.0539774,648.6054977,599.9174385,538.96764,499.1574271
YAL038W,461.9664762,481.3751863,526.9065487,490.4901956,370.1790655,429.4746337,468.8876563,482.8203351,507.7537811,499.3114443,462.2883822,446.7178133,460.1561299,469.9668255,497.8544434,540.0881915,482.8422194,530.5398241,436.0940067,427.2950538,472.0070732,433.6707622,493.0131186,467.1875573
YAL037W,77.31563193,71.19577753,114.533408,100.0303786,80.44651818,98.36727799,111.376265,103.829127,114.451444,106.1621218,91.97687462,78.95178576,146.6631085,124.8906889,142.2304168,133.6946187,128.6751061,127.65231,111.9743044,140.9355737,126.849977,138.7550433,106.4930062,112.0232312
YAL035W,202.9346526,206.3489173,196.5656302,228.1876353,229.0061367,190.2315314,168.7767001,167.9565782,159.4851394,171.3099575,181.5306355,182.5077282,216.4647585,202.7806386,201.125656,204.20827,220.5843928,223.3410496,192.2377689,170.9828441,185.7382418,195.8811875,211.8880466,201.1267899
YAL034W-A,111.2082517,104.5830599,77.20820954,79.60369771,72.42483506,60.64752552,68.7051055,97.03187039,88.85331888,80.64752383,74.18936318,76.43064951,77.95558491,112.0182335,130.5058315,72.47467481,103.4127777,92.66976278,92.77896055,90.35142991,104.2068836,88.73287317,89.10581632,85.06269958
YAL033W,223.0748216,252.3932714,180.6535319,182.9112015,174.7367203,153.6602381,165.6974739,211.7980234,192.9310136,199.8081034,208.5052727,216.2730771,163.3703468,159.3472623,218.0303209,192.6331012,167.5955598,211.9229869,172.8426374,211.2861594,204.515521,181.3565163,214.9563279,214.8183042
YAL030W,285.0319077,276.8477384,205.7943148,222.0431644,199.6254704,216.1488461,239.6591665,247.008705,262.3616011,249.9759879,298.2931771,277.981945,229.0917784,261.6056787,286.5583757,263.9428598,245.8592133,256.6406045,243.8983227,275.6708626,275.3866799,270.6291745,237.3855177,275.7060299
YAL028W,603.5840993,652.0555013,666.9203691,588.7563853,565.3523199,573.3791944,461.5804366,534.6013143,483.9210348,573.5498138,614.324216,529.4641048,630.0244912,680.8112716,652.2179182,599.9712342,447.3058427,502.9739952,586.4965503,594.5215077,669.9546456,564.787269,579.3621639,702.0236287
YAL027W,85.08152832,88.89726537,52.92148923,49.00556192,52.55860191,50.31094797,65.94937852,63.98707354,76.36757863,99.6422735,93.10820323,67.90183397,79.35929405,74.13601576,97.88357322,69.89821569,72.04535224,77.01990038,105.9192291,78.20363991,92.10793838,88.63140874,96.5300341,102.2949798
YAL019W,272.453294,250.9142511,220.5992753,181.4299435,189.5395388,187.1788426,204.6301913,213.4374367,267.0811371,229.5412853,228.0299304,221.6045819,199.1816479,252.5760599,261.7248683,255.0112026,252.4367313,234.0473558,207.5740643,237.4503093,281.1654092,296.5659401,278.4186051,257.9924938
YAL016W,184.4084342,167.5435715,126.0227769,169.0664159,168.8594257,192.9144599,195.4859244,225.8709946,205.5589949,209.3527782,185.1946643,186.7200454,191.9316349,203.1417283,198.9913343,213.1236072,162.1408881,165.3190568,226.5678635,225.9818351,237.6705542,200.2936053,203.4161537,219.7418294
YAL013W,225.6179082,208.4002814,197.1984377,200.6282742,226.3166814,211.4770648,253.8618205,251.1002078,278.4680829,260.6188164,213.3712097,230.7504752,218.5114491,213.5296296,233.3976124,220.7960247,211.8744305,199.9187144,252.7111526,256.3633731,260.0415152,255.9536866,192.3737203,232.730266
YAL012W,317.5995601,273.4227864,235.5810927,242.3273251,429.282383,395.065396,436.4086878,467.4518609,377.1736289,398.3226718,360.3566685,347.8528476,178.6151057,154.0982909,203.3146586,203.1369041,202.0892706,227.0164777,246.3277951,279.85108,239.4384521,216.8335975,225.9122538,227.1956525
YAL011W,195.7184386,182.0732136,158.5748091,145.1979062,204.0038322,176.5779358,191.5540271,201.312017,199.5912832,200.814859,215.204033,186.5751805,132.4010158,158.2725315,166.149231,162.0111326,146.0634295,144.0386732,147.2099085,190.8066193,181.9603741,198.8441815,166.6482404,162.4637064
YAL009W,181.6037175,144.9480027,130.1785711,109.7425837,106.1686545,125.4823201,160.7660486,157.5211357,174.7775625,174.6867088,162.9975476,138.292053,122.2764671,151.0383153,142.2644964,126.4801006,129.67219,116.8525336,149.912165,178.033482,157.4291209,147.1841167,149.0799299,119.5727214
YAL008W,164.918976,149.9304657,96.09776216,83.27466967,124.2370832,113.6878086,166.1372973,151.1177141,175.7573655,156.5731069,175.6864909,150.2351362,269.0250963,245.4821495,204.5165377,201.9455084,162.2988941,183.9097489,204.1308522,208.9244088,232.4394357,223.2705047,237.6658385,240.8401697
YAL004W,259.3590765,256.1581925,258.352799,226.9076532,243.8745466,263.5417505,272.0471172,265.4281189,247.8958683,282.5239148,249.5652871,246.0844946,208.3258606,213.4626325,226.5618764,251.5242152,212.149947,243.0396645,286.318531,298.4193376,286.3171457,271.1677253,250.2852394,224.9204167
YAL003W,901.554902,818.0184157,823.5345745,886.7137978,1003.132668,981.9569528,1054.903482,1044.788365,970.4557607,930.5614516,821.1015204,908.3204936,1060.116712,1046.480813,966.0172322,1074.052834,923.9963124,949.6913362,947.8310999,973.3933138,964.0784836,1040.352921,988.1419338,1069.901094
YAL002W,239.8270236,257.5916652,202.7695495,221.2950763,244.8583958,228.2828558,290.3154925,304.9917915,283.556486,256.6710934,232.2401311,260.0255156,379.0085646,367.180226,399.9853886,388.502489,338.1851202,365.4824936,347.1227482,376.1188399,364.6641183,406.5245462,308.888751,324.1461587
YAR002W,124.1712392,96.06271211,94.00697033,117.1633635,100.6769261,114.4045102,159.53526,139.245629,149.8232341,117.5469393,105.2426332,99.03166991,111.4512311,93.92887672,133.2952217,97.45358312,114.5150732,121.5774392,138.0465484,135.8156763,134.9657119,135.5595336,119.4246608,120.6292574
YAR003W,165.6457925,184.5914441,112.2871836,116.868675,122.4981245,122.6203436,153.4595069,148.27823,164.0904052,172.136108,140.984028,119.0825359,128.7668458,131.2414638,136.6964924,119.6159284,98.44500545,126.6841567,131.9564847,147.9290933,140.7631629,153.2903639,144.6497853,149.9584667
YAR008W,186.1163606,197.5827794,161.8202003,141.5186613,134.1281016,124.784381,199.7031391,220.9026621,182.7699374,185.6727122,160.2481985,149.7770295,165.3925897,165.8357281,138.4512807,165.1718885,134.0918647,174.2288743,176.7238411,186.4693025,195.4019927,192.9679308,149.1646793,191.5147005
YAR015W,309.0798094,295.3961678,259.3278606,246.2932353,323.8539338,285.1483761,313.5218487,304.8163444,323.4722139,313.945954,281.6914193,273.6433063,475.6150403,500.5581399,512.073516,478.162155,523.7381494,556.3800307,568.70744,639.1225583,516.6645347,545.7809883,423.4112108,473.9437417
YAR027W,94.4912246,85.16584358,116.2194692,100.2793203,91.41951386,105.5215366,106.799128,88.41327737,117.4429625,100.3965338,117.3742382,117.1675633,88.99121652,84.47830509,88.62332525,95.57243342,88.31864802,84.34764404,106.9992231,131.0556387,105.8531458,93.36967633,81.02315,100.2891131
YAR028W,136.3316137,140.2197253,117.7359436,97.44267763,95.25956371,101.8236182,140.7191541,132.0820218,148.6610115,166.0500915,158.1251519,132.9026592,231.3401046,244.2649553,244.5167194,238.2676285,235.3712767,245.0609837,268.3136536,269.1199708,296.0329817,247.0331594,262.2940325,258.5138452
YAR029W,139.9525229,187.5339712,147.4188774,116.0333554,98.96854032,99.20297676,144.8664641,130.8710739,135.5089674,172.186466,162.264094,145.7081014,201.8506236,227.3490902,221.9672991,230.3799714,205.1771926,223.9410963,230.7806298,232.0803878,243.834797,220.9001951,247.2540551,241.7010558
YAR033W,84.10417427,91.18740165,81.64904486,56.84204354,37.63612516,46.23954924,59.987177,57.77988898,82.65726454,76.74534163,87.45081783,71.42894969,43.8394906,47.92327173,75.72299996,58.25787807,37.02011512,49.55974405,50.11776257,60.29509164,99.27556537,62.58906091,51.1102647,73.42794891
YAR035W,2052.528586,2043.269249,1925.010974,1782.95785,1380.892871,1455.908908,1376.206935,1486.591571,1556.879233,1536.928614,1952.826405,1892.911268,2033.772208,2055.513158,2034.302944,1919.796511,1606.470196,1597.866208,1639.43647,1740.703164,1999.48112,1868.887833,2144.671219,1994.042507
YAR042W,246.5138937,242.2708279,191.7602496,178.8621071,125.2411076,203.2063358,229.9035442,216.4807179,274.0361788,277.9207976,317.4826119,301.8375703,305.4647798,336.0026551,303.8255282,378.2171776,210.29576,233.1346842,325.8397295,300.0695723,324.5499815,365.4157895,358.5999236,284.3796997
YJL216C,131.1852398,128.198312,110.4842887,87.09467476,62.32886232,60.3180668,80.60091579,68.80289394,108.1667312,89.63231873,127.5826554,93.94248411,93.97905313,107.4972724,108.5918575,101.5149495,92.8328293,81.80155092,86.25694393,97.06191443,132.6380669,101.6539563,122.4832933,115.8934336
YJL215C,100.8302052,91.68193643,63.01151298,55.19147731,45.95634838,19.57720107,34.82733935,28.95506467,78.77131684,64.43845806,90.06085476,67.93935099,63.3288581,69.49294544,101.8944817,57.91703614,73.96172926,59.37738431,55.58486712,91.49114378,89.29541893,64.51610234,82.17174223,66.47104343
YJL212C,418.0962169,400.2801414,436.1896873,440.7531484,501.1538171,417.8086532,360.9034632,367.834175,418.2960413,324.8701827,450.4573931,439.8826647,844.1311005,779.804791,797.6418044,885.7466845,918.5888435,1017.257094,872.8766123,847.1701593,797.3234982,867.2543536,804.8523944,746.7532358
YJL211C,245.0166686,252.3826622,208.7480527,204.8092156,232.4915981,226.1651402,223.2318507,224.7698968,245.3759428,238.0611742,267.0303946,209.9493409,161.3807441,161.0768431,168.3080321,146.2832964,145.2279133,138.256021,142.2958864,154.0390773,172.2801091,167.4800551,214.5772786,193.3816954
YJL208C,111.9820809,121.3937275,105.8797155,101.7069084,77.66705389,79.4136806,78.7363476,91.40079295,111.5421726,111.2156113,126.943856,108.1083288,161.383441,160.0276373,158.6608639,170.7719581,182.3522841,204.9271851,151.504111,145.6248214,163.6591766,216.8978499,165.7400399,142.3687934
YJL206C,131.0230128,160.3042785,117.6387494,105.1011892,103.7029961,115.6098853,122.195587,127.5816497,150.0488554,149.05324,184.0962246,146.7819272,236.1319297,241.4335222,194.0204585,217.3172008,183.8244433,172.3646239,186.0829579,189.8303058,217.4859048,251.3630403,281.8395198,223.5893463
YJL205C,104.3770337,103.404699,77.43884404,82.01591676,65.00851687,78.44413795,90.19172252,78.97094939,113.2189576,95.18276068,107.0946719,106.7442456,100.3701724,107.4635591,84.12310325,105.7549245,73.33959429,81.76677455,84.45246605,101.6892529,104.0632227,109.6283962,106.8271035,96.08493618
YJL204C,72.7255678,76.26536142,49.60936983,53.03062403,47.43706863,54.50861463,59.40676175,50.71220529,74.68314426,67.09699291,77.94005409,53.7987527,70.53062612,61.58382984,66.94331789,66.47766356,54.80645518,59.00688115,50.95282302,56.77402432,77.09831223,74.35800797,84.11144353,69.49934879
YJL200C,221.7096718,219.4012856,261.9628787,233.5774127,258.1632893,281.0921424,268.9625732,226.5284439,282.6092714,266.8326003,207.5952489,193.172109,241.6698804,235.8855516,294.9465325,227.0755137,235.8193642,225.5730728,226.6373187,218.5325758,270.8250829,253.2177588,238.306139,257.6209301
YJL199C,347.5737231,304.8556099,327.3220668,322.0672043,310.0288235,299.2646573,244.6711223,286.4150658,249.0452654,245.9844188,274.8954362,282.9589294,214.2855695,202.633275,222.7246,184.8688669,216.8006474,199.889879,197.6517084,194.6012725,220.0623347,202.3273358,234.5596975,214.4333326
YJL196C,696.2518239,694.1003643,597.7066356,685.2646859,672.1222657,634.4692736,748.958031,673.9663128,717.1550939,703.363505,663.6346832,685.4331302,654.4050251,732.7455084,731.4149673,719.0416184,632.2354814,712.0595387,655.0565696,645.5152542,714.8262985,611.2167308,708.0174981,791.9329043
YJL192C,411.5115902,441.5491306,420.5050843,502.08433,507.6943812,479.136432,470.1166568,417.8389318,445.3947223,391.5290513,387.1495378,365.2692967,336.6257539,357.0775115,333.9926862,355.8411977,331.3771263,384.7056945,304.5661335,311.8382887,348.8262491,351.7193613,323.5302683,322.7459658
YJL190C,670.9034293,581.6948173,724.3719145,721.2760888,691.4004284,672.6511296,634.4723373,694.9404723,571.3626133,620.81719,591.0280097,569.9075551,697.6657434,732.0913723,672.6310195,729.9740141,769.7681419,770.1085637,683.1146962,714.7139053,697.0317648,692.2792421,760.4432866,660.3230908
YJL187C,346.8011912,374.3307305,351.9534512,385.6929842,494.1400976,447.643088,461.8250586,480.5465074,378.9818289,387.1409236,354.6908685,341.8279093,212.6559223,260.3235041,255.6022778,275.5536967,264.1432248,322.6456936,261.9553347,274.9593715,297.0404459,295.9479079,304.5570734,277.2903254
YJL185C,496.7844982,471.8960916,474.5754214,492.6684271,514.1767702,472.5065719,480.7229736,507.92769,487.2532092,496.4044871,504.7106495,438.7210203,349.7274562,367.7632978,357.4949457,342.7724949,346.3635772,437.9407266,370.4664774,378.340119,319.6243906,366.780332,352.5413728,343.1171044
YJL180C,71.71383,80.99946463,78.25603448,80.30974861,79.87807978,64.04343882,80.24710413,92.88437672,65.18931351,61.09500841,82.19518435,72.51340023,74.0231041,56.81171211,70.95480708,47.24687717,46.41200689,51.82411252,49.99930552,56.88401809,71.20771822,73.07492091,49.62687111,59.39675597
YJL178C,1072.633364,1077.946754,1159.538251,1144.01697,1177.502884,1093.339728,1037.165998,1119.712818,955.8643789,1011.50781,1013.842952,996.0137909,1233.689153,1335.221759,1235.63442,1299.046833,1399.666718,1396.480398,1233.763314,1288.404661,1201.943231,1255.575363,1179.586248,1204.928583
YJL176C,345.8960033,342.8445308,344.7173143,409.2923369,575.0939929,502.9330165,513.3707085,507.8975172,439.1628873,409.9783603,347.0703311,371.8953929,588.951364,575.4153335,539.9084099,573.307778,609.5826757,641.336443,564.2567429,605.2341898,545.744019,546.1366258,550.0521104,589.4093551
